IMBD title ID;Original title;Release year;YEAR;Genre;Duration;Country;Content Rating;Director;Income; Votes ;Score;
tt0111161;The Shawshank Redemption;10/02/1995;1995;Drama;142;USA;R;Frank Darabont;$28,815,245;2278845;9.3;
tt0068646;The Godfather;21/09/1972;1972;Crime, Drama;175;USA;R;Francis Ford Coppola;$246,120,974;1572674;9.2;
tt0468569;The Dark Knight; 23/07/2008;#VALUE!;Action, Crime, Drama;152;USA;PG/13;Christopher Nolan;$1,005,455,211;2241615;9.0;
tt0071562;The Godfather: Part II;25/09/1975;1975;Crime, Drama;220;USA;R;Francis Ford Coppola;$408,035,783;1098714;9,.0;
tt0167260;The Lord of the Rings: The Return of the King;22/02/2004;2004;Action, Adventure, Drama;201;NEW ZEALAND;PG/13;Peter Jackson;$1,142,271,098;1604280;8.9;
tt0050083;12 Angry Men;04/09/1957;1957;Crime, Drama;96;USA;Not Rated;Sidney Lumet;$576;668473;8.9;
tt1375666;Inception;24/09/2010;2010;Action, Adventure, Sci/Fi;148;USA;PG/13;Christopher Nolan;$869,784,991;2002816;8..8;
tt0109830;Forrest Gump;06/10/1994;1994;Drama, Romance;142;USA;PG/13;Robert Zemeckis;$678,229,452;1755490;8.8;
tt0120737;The Lord of the Rings: The Fellowship of the Ring;18/01/2002;2002;Action, Adventure, Drama;178c;NEW ZEALAND;PG/13;Peter Jackson;$887,934,303;1619920;8.8;
tt0060196;Il buono, il brutto, il cattivo;23/12/1966;1966;Western;161;ITALY;Approved;Sergio Leone;$25,252,481;672499;8.8;
tt0167261;The Lord of the Rings: The Two Towers;16/01/2003;2003;Action, Adventure, Drama;179;NEW ZEALAND;PG/13;Peter Jackson;$951,227,416;1449778;8.7.;
tt0099685;Goodfellas;20/09/1990;1990;Biography, Crime, Drama;146;USA;R;Martin Scorsese;$46,879,633;991505;8.7;
tt0816692;Interstellar;06/11/2014;2014;Adventure, Drama, Sci/Fi;169;USA;PG/13;Christopher Nolan;$696,742,056;1449256;8.6;
tt0114369;Se7en;15/12/1995;1995;Crime, Drama, Mystery;127;USA;R;David Fincher;$327,333,559;1402015;8.6;
tt0102926;The Silence of the Lambs;05/03/1991;1991;Crime, Drama, Thriller;118;USA;R;Jonathan Demme;$272,753,884;1234134;8,6;
tt0076759;Star Wars;20/10/1977;1977;Action, Adventure, Fantasy;121;USA;PG;George Lucas;$775,768,912;1204107;8.6;
tt0120815;Saving Private Ryan;30/10/1998;1998;Drama, War;169;USA;R;Steven Spielberg;$482,349,603;1203825;8.6;
tt0120689;The Green Mile;03/10/2000;2000;Crime, Drama, Fantasy;189;USA;R;Frank Darabont;$286,801,374;1112336;8.6;
tt0317248;Cidade de Deus;09/05/2003;2003;Crime, Drama;130;BRAZIL;R;Fernando Meirelles, Kattia Lund;$30,680,793;685856;8.6;
tt0245429;Sen to Chihiro no kamikakushi;18/04/2003;2003;Animation, Adventure, Family;125;JAPAN;PG;Hayao Miyazaki;$355,467,056;626693;8.6;
tt0118799;La vita B9 bella;20/12/1997;1997;Comedy, Drama, Romance;116;ITALY;G;Roberto Benigni;$230,098,753;605648;8.6;
tt6751668;Gisaengchung;07/11/2019;2019;Comedy, Drama, Thriller;132;SOUTH KOREA;G;Bong Joon Ho;$257,604,912;470931;8.6;
tt0038650;It's a Wonderful Life;11/03/1948;1948;Drama, Family, Fantasy;130;USA;PG;Frank Capra;$6,130,720;38831;8.6;
tt0047478;Shichinin no samurai;19/08/1955;1955;Action, Adventure, Drama;207;JAPAN;Not Rated;Akira Kurosawa;$322,773;307958;8.6;
tt0172495;Gladiator;19/05/2000;2000;Action, Adventure, Drama;155;USA;R;Ridley Scott;$465,361,176;1308193;8.5;
tt0407887;The Departed;27/10/2006;2006;Crime, Drama, Thriller;151;USA;R;Martin Scorsese;$291,465,034;1159703;8.5;
tt0482571;The Prestige;22/12/2006;2006;Drama, Mystery, Sci/Fi;130;UK;PG/13;Christopher Nolan;$109,676,311;1155723;8.5;
tt0088763;Back to the Future;18/10/1985;1985;Adventure, Comedy, Sci/Fi;116;USA;PG;Robert Zemeckis;$388,774,684;1027330;8.5;
tt0120586;American History X;27/08/1999;1999;Drama;119;USA;R;Tony Kaye;$23,875,127;1014218;8.5;
tt0110413;Léon;07/04/1995;1995;Action, Crime, Drama;110;FRANCE;G;Luc Besson;$19,552,639;1007598;8.5;
tt0103064;Terminator 2: Judgment Day;19/12/1991;1991;Action, Sci/Fi;137;USA;R;James Cameron;$520,884,847;97497;8.4;
tt0114814;The Usual Suspects;30/11/1995;1995;Crime, Mystery, Thriller;106;USA;R;Bryan Singer;$23,341,568;968947;8.4;
tt0110357;The Lion King;25/11/1994;1994;Animation, Adventure, Drama;88;USA;G;Roger Allers, Rob Minkoff;$968,511,805;917248;8.4;
tt7286456;Joker;03/10/2019;2019;Crime, Drama, Thriller;122;USA;G;Todd Phillips;$1,074,251,311;855097;8.4;
tt1675434;Intouchables;24/02/2012;2012;Biography, Comedy, Drama;112;FRANCE;G;Olivier Nakache, ric Toledano;$426,588,510;736691;8.4;
tt0253474;The Pianist;25/10/2002;2002;Biography, Drama, Music;150;UK;R;Roman Polanski;$120,072,577;707942;8.4;
tt2582802;Whiplash;12/02/2015;2015;Drama, Music;106;USA;R;Damien Chazelle;$48,983,260;690732;8.4;
tt0054215;Psycho;28/10/1960;1960;Horror, Mystery, Thriller;109;USA;R;Alfred Hitchcock;$32,008,644;586765;8.3;
tt0034583;Casablanca;21/11/1946;1946;Drama, Romance, War;102;USA;PG;Michael Curtiz;$4,374,761;509953;8.3;
tt0064116;C'era una volta il West;21/12/1968;1968;Western;165;ITALY;PG/13;Sergio Leone;$112,911;29522;8.3;
tt0095327;Hotaru no haka;11/10/2015;2015;Animation, Drama, War;89;JAPAN;G;Isao Takahata;$516,962;225438;8.3;
tt0095765;Nuovo Cinema Paradiso;17/11/1988;1988;Drama;155;ITALY;G;Giuseppe Tornatore;$13,826,605;22305;8.3;
tt0027977;Modern Times;12/03/1937;1937;Comedy, Drama, Family;87;USA;G;Charles Chaplin;$457,688;21125;8.3;
tt1345836;The Dark Knight Rises;29/08/2012;2012;Action, Adventure;164;UK;PG/13;Christopher Nolan;$1,081,133,191;1480582;8.3;
tt1853728;Django Unchained;17/01/2013;2013;Drama, Western;165;USA;R;Quentin Tarantino;$425,368,238;1317856;8.3;
tt0209144;Memento;19/01/2001;2001;Mystery, Thriller;113;USA;R;Christopher Nolan;$39,970,386;1098879;8.2;
tt0910970;WALL·E;17/10/2008;2008;Animation, Adventure, Family;98;USA;G;Andrew Stanton;$521,311,860;974734;8.2;
tt0081505;The Shining;22/12/1980;1980;Drama, Horror;146;UK;R;Stanley Kubrick;$46,520,613;86948;8.2;
tt0082971;Raiders of the Lost Ark;12/06/1981;1981;Action, Adventure;115;USA;PG;Steven Spielberg;$390,133,212;86551;8.2;
tt4154756;Avengers: Infinity War;25/04/2018;2018;Action, Adventure, Sci/Fi;149;USA;G;Anthony Russo, Joe Russo;$2,048,359,754;796486;8.2;
tt0078748;Alien;25/10/1979;1979;Horror, Sci/Fi;117;UK;R;Ridley Scott;$108,110,316;768874;8.2;
tt4154796;Avengers: Endgame;24/04/2019;2019;Action, Adventure, Drama;181;USA;G;Anthony Russo, Joe Russo;$2,797,800,564;754786;8.2;
tt0078788;Apocalypse Now;18/12/1979;1979;Drama, Mystery, War;147;USA;R;Francis Ford Coppola;$91,968,688;591251;8.2;
tt0364569;Oldeuboi;06/05/2005;2005;Action, Drama, Mystery;120;SOUTH KOREA;R;Chan/wook Park;$15,002,116;501082;8.1;
